feats,op,order,v_sep,tail_ir,flip_rate,half1_sep,half2_sep,range_corr,redundancy,max_component_sep,lift_over_components
ATR%|G_Volume_Trend_Analyzer,max,2,0.056518978336089626,0.8343879014958221,0.375,0.05718308085172413,0.055875000139110696,0.44871290433795397,0.4888701023474433,0.049875357889666544,0.006643620446423082
atr_percentage|G_Volume_Trend_Analyzer,max,2,0.056518978336089626,0.8343879014958221,0.375,0.05718308085172413,0.055875000139110696,0.448712915185462,0.488870058274892,0.049875357889666544,0.006643620446423082
mp_d4_b396_sym_trace|ATR%|cv_20d_regime_low,mean3,3,0.07556260485558496,0.8341075310756829,0.3125,0.07624089184429722,0.07490487201804577,0.2805505716852766,0.613873267162675,0.05552749810283517,0.020035106752749783
mp_d4_b396_sym_trace|atr_percentage|cv_20d_regime_low,mean3,3,0.07556260485558496,0.8341075310756829,0.3125,0.07624089184429722,0.07490487201804577,0.2805505619444323,0.6138732139945845,0.05552749810283517,0.020035106752749783
F4_Price_Ratio|information_rate_of_change|trading_signal_composite,mean3,3,0.06315936613287639,0.8326053350823953,0.3125,0.06273369152006107,0.06357214151500032,0.283422709311032,0.4435708616752841,0.05307409683031943,0.010085269302556953
High_Close|ATR%|cv_20d_regime_low,mean3,3,0.07134304107091269,0.832553857309273,0.3125,0.07589066468581812,0.06693322423221651,0.3746219513227566,0.6119688914753157,0.05191560677635443,0.01942743429455826
High_Close|atr_percentage|cv_20d_regime_low,mean3,3,0.07134304107091269,0.832553857309273,0.3125,0.07589066468581812,0.06693322423221651,0.37462194614784394,0.6119688368471895,0.05191560677635443,0.01942743429455826
F4_Price_Ratio|ATR%|rapid_price_change_zscore,mean3,3,0.0677557486973545,0.831406159823615,0.25,0.07243746675208361,0.06321590088670809,0.33534502141551775,0.5896691198147306,0.05307409683031943,0.014681651867035066
F4_Price_Ratio|atr_percentage|rapid_price_change_zscore,mean3,3,0.0677557486973545,0.831406159823615,0.25,0.07243746675208361,0.06321590088670809,0.3353450154053689,0.5896690729161633,0.05307409683031943,0.014681651867035066
ATR%|distance_from_sma_10d|volatility_score,mean3,3,0.06292533132052576,0.8313178591278169,0.28125,0.08086090764268095,0.04553325731116315,0.27971808911839785,0.6682992431566176,0.049875357889666544,0.013049973430859216
atr_percentage|distance_from_sma_10d|volatility_score,mean3,3,0.06292533132052576,0.8313178591278169,0.28125,0.08086090764268095,0.04553325731116315,0.279718079792317,0.6682991903390016,0.049875357889666544,0.013049973430859216
atr_percentage|G_Volume_Trend_Analyzer|trend_direction_10d,mean3,3,0.06673883193992522,0.8265586652931162,0.296875,0.07161739415663168,0.062008104941906825,0.42903963675503376,0.56179238511873,0.049875357889666544,0.016863474050258676
ATR%|G_Volume_Trend_Analyzer|trend_direction_10d,mean3,3,0.06673883193992522,0.8265586652931162,0.296875,0.07161739415663168,0.062008104941906825,0.4290396403908099,0.5617924451990234,0.049875357889666544,0.016863474050258676
High_Close|ATR%|rapid_price_change_zscore,mean3,3,0.06831556288168758,0.8250089098467892,0.28125,0.07297471224669498,0.06379759986107436,0.42408555014969657,0.5695437912789462,0.05191560677635443,0.016399956105333152
High_Close|atr_percentage|rapid_price_change_zscore,mean3,3,0.06831556288168758,0.8250089098467892,0.28125,0.07297471224669498,0.06379759986107436,0.4240855474889213,0.5695437435365097,0.05191560677635443,0.016399956105333152
atr_percentage|hammer_pattern|trend_consistency_5d,mean3,3,0.06811357406378216,0.822956438327132,0.296875,0.07937466737430054,0.05719372600509763,0.2552918628669032,0.5506061110856297,0.049875357889666544,0.018238216174115612
ATR%|hammer_pattern|trend_consistency_5d,mean3,3,0.06811357406378216,0.822956438327132,0.296875,0.07937466737430054,0.05719372600509763,0.2552918738726354,0.5506061652793477,0.049875357889666544,0.018238216174115612
ATR%|hammer_pattern|direction_flipper_count5,mean3,3,0.06811357406378216,0.822956438327132,0.296875,0.07937466737430054,0.05719372600509763,0.2552918737675709,0.5506061658141481,0.049875357889666544,0.018238216174115612
atr_percentage|hammer_pattern|direction_flipper_count5,mean3,3,0.06811357406378216,0.822956438327132,0.296875,0.07937466737430054,0.05719372600509763,0.2552918627618385,0.5506061116204302,0.049875357889666544,0.018238216174115612
information_rate_of_change|hammer_pattern|trading_signal_composite,mean3,3,0.06267611094118909,0.8210155132132542,0.265625,0.061843528533384776,0.06348346357905994,0.21962888803701244,0.5497317098571077,0.03655015770190881,0.026125953239280283
F4_Price_Ratio|atr_percentage|hammer_pattern,mean3,3,0.07383278250169134,0.8165095704079606,0.25,0.07219748310517646,0.07541852737103912,0.3440991641289377,0.59627915869756,0.05307409683031943,0.02075868567137191
F4_Price_Ratio|ATR%|hammer_pattern,mean3,3,0.07382824158805952,0.8164523083815338,0.25,0.07219748310517646,0.07540958314721886,0.34409917031789505,0.5962791604892765,0.05307409683031943,0.020754144757740088
atr_percentage|Realized_Vol_10d|Volume%_rolling_90,mean3,3,0.06100155098691349,0.8155573866337006,0.34375,0.06986150340563531,0.052410081974819604,0.4912029343253649,0.6820472536480047,0.049875357889666544,0.011126193097246946
ATR%|Realized_Vol_10d|Volume%_rolling_90,mean3,3,0.06100155098691349,0.8155573866337006,0.34375,0.06986150340563531,0.052410081974819604,0.49120292963147827,0.6820472901323765,0.049875357889666544,0.011126193097246946
