feature,tdmd_ic,tdmd_ir,tdmd_days,global_ic,global_ir,model_rank,abs_tdmd_ir
dollar_volume_percentile,0.03261497016022291,0.23662958264226816,71,0.020112293766949393,0.27038691235914747,354.0,0.23662958264226816
Volume_std,-0.025040869692982644,-0.2240053669243276,71,0.002731058439463052,0.02911104747194984,317.0,0.2240053669243276
return_3d_abs,-0.02389503665515106,-0.21897729995822787,71,-0.005286711146571046,-0.06324894358506973,381.0,0.21897729995822787
alpha_QQQ,0.03842413189424878,0.21810976659304923,71,0.011132385258893282,0.08632536796006329,474.0,0.21810976659304923
alpha_SPY,0.03792900146569484,0.217604586107758,71,0.012057743063484814,0.09506291903734831,202.0,0.217604586107758
dollar_volume_ma_252,-0.023431148725085102,-0.2147798367183553,71,-0.0032650516036289005,-0.036423633952052906,374.0,0.2147798367183553
alpha_IWM,0.03641327885523621,0.21363482323779873,71,0.013763227718554736,0.10886874149760395,291.0,0.21363482323779873
alpha_VIX,0.0371252748322033,0.20990400738742027,71,0.009373684217094221,0.07177964437196951,330.0,0.20990400738742027
Price_Differential_Ratio_Acceleration_5d,0.019129734710360297,0.20973615835090392,71,0.007006826593098532,0.17581648960431187,497.0,0.20973615835090392
alpha_DIA,0.036504735593906525,0.20839269029490085,71,0.013484136164262913,0.1037615444304468,475.0,0.20839269029490085
return_10d_abs,-0.027973246192984393,-0.20000171313924278,71,-0.012006998855584143,-0.1285493302773573,402.0,0.20000171313924278
price_acceleration,-0.026680421303846787,-0.19864804195172162,71,-0.005431552578206889,-0.047519953563600156,353.0,0.19864804195172162
Volume_rolling_90,-0.022844701842910688,-0.19683025875605634,71,0.0016444951129627762,0.016796422618863792,377.0,0.19683025875605634
stress_v6,-0.022793691994136167,-0.19567151846593034,71,-0.00410317582648077,-0.02926286715667791,452.0,0.19567151846593034
Price_Differential_Ratio_InformationRatio,-0.025561162844303643,-0.1941559047870846,71,-0.010645415985675609,-0.14348825052199746,420.0,0.1941559047870846
RSI,0.036725858784535624,0.19258480308901388,71,0.0071423018268560534,0.04590796567420556,387.0,0.19258480308901388
